PLAYER_NAME,PLAYER_ID,ABILITY_PARAMS
Connor Bedard,1,40.0
Adam Fantilli,2,36.28491522607761
Leo Carlsson,3,33.653391114958524
Matvei Michkov,8,32.62289767579482
William Smith,4,32.518638192109925
Zach Benson,14,30.698289376335126
Ryan Leonard,7,30.24462711686281
Dalibor Dvorsky,6,30.12977126719255
Oliver Moore,18,29.70585696893444
David Reinbacher,5,29.443799044034765
Axel Sandin Pellikka,20,29.23127355199464
Dmitri Simashev,13,29.14060793863708
Colby Barlow,16,28.961812986955717
Nate Danielson,11,28.749007957009407
Matthew Wood,12,28.734953850324676
Gabriel Perreault,9,28.67125698733729
Brayden Yager,19,28.240132030645945
Eduard Sale,28,28.065953262945985
Calum Ritchie,23,27.90700312293867
Samuel Honzek,15,27.49311972506625
Gavin Brindley,30,27.415350817312824
Tom Willander,10,27.372987356708474
Danil But,17,27.341352211458844
Quentin Musty,24,26.95998290225339
Mikhail Gulyayev,34,26.932778597133044
Otto Stenberg,35,26.898724903041643
Andrew Cristall,45,26.781181007551844
Riley Heidt,49,26.551251600029904
Bradly Nadeau,31,26.45355094976285
Tanner Molendyk,27,26.22517462724731
Lukas Dragicevic,36,25.980872622395925
Ethan Gauthier,46,25.97049938879062
Oliver Bonk,22,25.810400204431694
David Edstrom,21,25.488421350803215
Oscar Fisker Molgaard,42,25.264734890479495
Etienne Morin,25,25.17791538682709
Charlie Stramel,29,25.161788162630625
Michael Hrabal,26,25.086329157698227
Theo Lindstein,39,25.065421065196507
Beau Akey,41,25.05714677837323
Kasper Halttunen,44,25.055771993476483
Maxim Strbak,38,25.03227574194409
Anton Wahlberg,33,24.977978026850415
Gracyn Sawchyn,80,24.93546416020102
Jayden Perron,67,24.883638634906145
Koehn Ziemmer,59,24.843466701711417
Danny Nelson,32,24.708254746375307
Carson Kehkopf,37,24.58069717313106
Trey Augustine,52,24.376884465367315
Lenni Hameenaho,58,24.357633759737816
Hunter Brzustewicz,66,24.31477195537504
Nick Lardis,78,24.297119603797118
Caden Price,83,24.15330035665177
Carson Bjarnason,51,24.14711117974207
Mathieu Cataford,62,24.061393302449815
Kalan Lind,40,24.00571503921203
Alex Ciernik,75,23.99956652380838
Luca Cagnoni,47,23.981374337722848
William Whitelaw,90,23.9122377815837
Jesse Kiiskinen,74,23.6286878302285
Aram Minnetian,93,23.547928188511836
Noah Dower Nilsson,84,23.541734585057803
Andrew Strathmann,63,23.52129141278398
Jakuv Dvorak,54,23.453299703063408
Felix Nilsson,43,23.432290981758708
Nico Myatovic,50,23.383572480467752
Andrew Gibson,57,23.322426056914733
Easton Cowan,61,23.29446997244708
Adam Gajan,56,23.2740062239591
Coulson Pitre,53,23.237850381706988
Jacob Fowler,72,23.191677332282733
Juraj Pekarcik,48,23.109044486191078
Roman Kantserov,94,23.101312009677056
Carey Terrance,55,23.025275966497862
Tristan Bertucci,81,22.954430917795744
Quinton Burns,73,22.929779548484913
Felix Under Sorum,76,22.92775888637132
Cameron Allen,95,22.71729993275777
Martin Misiak,82,22.710851065292484
Luca Pinelli,103,22.69137366455402
Damian Clara,60,22.683958384158007
Ethan Miedema,64,22.618568739565156
Rasmus Kumpulainen,92,22.53715253009373
Gavin McCarthy,69,22.500531229492854
Arttu Karkki,68,22.46874908309897
Timur Mukhanov,104,22.09205570495161
Larry Keenan,91,22.015513691801534
Zach Nehring,85,21.99439524570662
Aydar Suniev,115,21.849504378097837
Jesse Nurmi,99,21.648555704635086
Yegor Sidorov,107,21.391949585112602
Emil Pieniniemi,65,21.37679079646529
Alex Pharand,70,21.35571181965959
Aiden Fink,71,21.35038912638966
Hoyt Stanley,77,21.31562643971173
Alexander Rykov,79,21.301925793774156
