Player Name,PLAYER_ID
Connor Bedard,1
Adam Fantilli,2
Leo Carlsson,3
William Smith,4
David Reinbacher,5
Dalibor Dvorsky,6
Ryan Leonard,7
Matvei Michkov,8
Gabriel Perreault,9
Tom Willander,10
Nate Danielson,11
Matthew Wood,12
Dmitri Simashev,13
Zach Benson,14
Samuel Honzek,15
Colby Barlow,16
Danil But,17
Oliver Moore,18
Brayden Yager,19
Axel Sandin Pellikka,20
David Edstrom,21
Oliver Bonk,22
Calum Ritchie,23
Quentin Musty,24
Etienne Morin,25
Michael Hrabal,26
Tanner Molendyk,27
Eduard Sale,28
Charlie Stramel,29
Gavin Brindley,30
Bradly Nadeau,31
Danny Nelson,32
Anton Wahlberg,33
Mikhail Gulyayev,34
Otto Stenberg,35
Lukas Dragicevic,36
Carson Kehkopf,37
Maxim Strbak,38
Theo Lindstein,39
Kalan Lind,40
Beau Akey,41
Oscar Fisker Molgaard,42
Felix Nilsson,43
Kasper Halttunen,44
Andrew Cristall,45
Ethan Gauthier,46
Luca Cagnoni,47
Juraj Pekarcik,48
Riley Heidt,49
Nico Myatovic,50
Carson Bjarnason,51
Trey Augustine,52
Coulson Pitre,53
Jakuv Dvorak,54
Carey Terrance,55
Adam Gajan,56
Andrew Gibson,57
Lenni Hameenaho,58
Koehn Ziemmer,59
Damian Clara,60
Easton Cowan,61
Mathieu Cataford,62
Andrew Strathmann,63
Ethan Miedema,64
Emil Pieniniemi,65
Hunter Brzustewicz,66
Jayden Perron,67
Arttu Karkki,68
Gavin McCarthy,69
Alex Pharand,70
Aiden Fink,71
Jacob Fowler,72
Quinton Burns,73
Jesse Kiiskinen,74
Alex Ciernik,75
Felix Under Sorum,76
Hoyt Stanley,77
Nick Lardis,78
Alexander Rykov,79
Garyn Sawchyn,80
Tristan Bertucci,81
Martin Misiak,82
Caden Price,83
Noah Dower Nilsson,84
Zach Nehring,85
Brandon Svoboda,86
Dylan Mackinnon,87
Jonathan Castagna,88
Albert Wikman,89
William Whitelaw,90
Larry Keenan,91
Rasmus Kumpulainen,92
Aram Minnetian,93
Roman Kantserov,94
Cameron Allen,95
Zaccharya Wisdom,96
Michael Emerson,97
Tuomas Uronen,98
Jesse Nurmi,99
Tanner Ludtke,100
Zeb Forsfjall,101
Frantisek Dej,102
Luca Pinelli,103
Timur Mukhanov,104
Beckett Hendrickson,105
Konnor Smith,106
Yegor Sidorov,107
Drew Fortescue,108
Yegor Rimashevskiy,109
Tyler Peddle,110
Luke Mcnamara,111
Noel Nordh,112
Gabriel Szturc,113
Denver Barkey,114
Aydar Suniev,115
Jaden Lipinski,116
Ruslan Khazheyev,117
Brady Cleveland,118
Matteo Mann,119
Chase Cheslock,120
Brad Gardiner,121
Paul Fischer,122
Connor Levis,123
Hudson Malinoski,124
Sawyer Mynio,125
Jayson Shaugabay,126
Daniil Karpovich,127
Max Lundgren,128
Milton Oscarson,129
Matteo Fabrizi,130
Joseph Connor,131
Jake Fisher,132
Austin Roest,133
Cam Squires,134
Alexander Hellnemo,135
Scott Ratzlaff,136
Jakub Stancl,137
Zachara Schulz,138
Sean Keohane,139
Samuel Mayer,140
Anthony Romani,141
Matthew Mania,142
Cole Knuble,143
Nicholas Vantassell,144
Nikita Susuyev,145
Aaron Pionk,146
Kalem Parker,147
Andrei Loshko,148
Carter Sotheran,149
Stephen Peck,150
Casper Nassen,151
Ivan Anoshko,152
Francesco Dell'Elce,153
Emil Jarventie,154
Petter Vesterheim,155
Vadim Moroz,156
Tanner Adams,157
Kaden Hammell,158
Mazden Leslie,159
Deagan Mcmillan,160
Benjamin Poitras,161
Janne Peltonen,162
Egor Zavragin,163
Michael Hagens,164
Ethan Gardula,165
Nathaniel Day,166
Kalle Kangas,167
Ty Halaburda,168
Tommaso De Luca,169
Konstantin Volochko,170
Matt Copponi,171
Jordan Tourigny,172
Carsen Musser,173
Teddy Townsend,174
Chris Able,175
Ryan Koering,176
Kristan Kostadinski,177
Gavyn Thoreson,178
Jeremy Hanzel,179
Adam Cedzo,180
Axel Hurtig,181
Ryan Conmy,182
Juha Jatkola,183
Ethan Hay,184
