,Team,Type,POS,Name,Specific POS,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
262,VAN,Prospects,D,"Gabrielsson, Hugo",LD,20,L,Drafted (169 - 2021),35,0.0,6.0,6.0,,,HockeyAllsvenskan,,5,0.0
264,VAN,Prospects,D,"Dorrington, Jackson",LD,19,L,Drafted (176 - 2022),35,0.0,6.0,6.0,,,NCAA,,3,0.0
265,VAN,Prospects,D,"Persson, Viktor",RD,21,R,Drafted (191 - 2020),24,0.0,3.0,3.0,,,Liiga,,5,0.0
266,VAN,Prospects,G,"Young, Ty",G,19,L,Drafted (144 - 2022),34,,,,3.89,0.889,WHL,,0,0.858399484
267,VAN,Prospects,G,"Thiessen, Matthew",G,23,L,Drafted (192 - 2018),19,,,,2.64,0.905,NCAA,,0,0.86862953
268,VAN,Reserve,F,"Kravtsov, Vitali",LW,23,L,Traded,44,4.0,4.0,8.0,,,NHL,,8,0.0
269,WSH,Majors,RW,"Protas, Aliaksei",RW,22,L,Drafted (91 - 2019),58,4.0,11.0,15.0,,,NHL,,15,0.0
270,WSH,Majors,LD,"Fehérváry, Martin",LD,23,L,Drafted (46 - 2018),67,6.0,10.0,16.0,,,NHL,,16,0.0
271,WSH,Majors,LD,"Sandin, Rasmus",LD,23,L,Traded,71,7.0,28.0,35.0,,,NHL,,35,0.0
272,WSH,Majors,F,"McMichael, Connor",LW,22,L,Drafted (25 - 2019),57,16.0,23.0,39.0,,,AHL,,22,0.0
273,WSH,Majors,D,"Alexeyev, Alexander",LD,23,L,Drafted (31 - 2018),32,0.0,5.0,5.0,,,NHL,,5,0.0
274,WSH,Minors,F,"Miroshnichenko, Ivan",LW,19,R,Drafted (20 - 2022),23,3.0,1.0,4.0,,,KHL,,11,0.0
275,WSH,Minors,F,"Lapierre, Hendrix",C,21,L,Drafted (22 - 2020),60,15.0,15.0,30.0,,,AHL,,16,0.0
277,WSH,Minors,F,"Suzdalev, Alexander",LW,19,L,Drafted (70 - 2022),66,38.0,48.0,86.0,,,WHL,,15,0.0
278,WSH,Minors,F,"Sutter, Riley",RW,23,R,Drafted (93 - 2018),69,5.0,7.0,12.0,,,AHL,,6,0.0
279,WSH,Minors,F,"Hofer, Ryan",C,21,L,Drafted (181 - 2022),66,40.0,28.0,68.0,,,WHL,,12,0.0
280,WSH,Minors,F,"Trineyev, Bogdan",RW,21,R,Drafted (117 - 2020),39,2.0,11.0,13.0,,,KHL,,21,0.0
281,WSH,Minors,F,"Rybinski, Henry",RW,22,R,Signed to ELC,51,5.0,13.0,18.0,,,AHL,,11,0.0
282,WSH,Minors,F,"Dubé, Pierrick",RW,22,R,Signed to ELC,44,16.0,16.0,32.0,,,AHL,,23,0.0
283,WSH,Minors,D,"Iorio, Vincent",RD,20,R,Drafted (55 - 2021),63,2.0,20.0,22.0,,,AHL,,11,0.0
284,WSH,Loaned,F,"Persson, Ludwig",LW,19,L,Drafted (85 - 2022),45,4.0,11.0,15.0,,,HockeyAllsvenskan,,10,0.0
287,WSH,Prospects,F,"Karabela, Jake",C,19,L,Drafted (149 - 2022),68,18.0,21.0,39.0,,,NHL,,39,0.0
288,WSH,Prospects,F,"Hänelt, Haakon",C,20,L,Drafted (151 - 2021),34,3.0,15.0,18.0,,,QMJHL,,5,0.0
290,WSH,Prospects,F,"Magnusson, Oskar",C,21,L,Drafted (211 - 2020),52,6.0,10.0,16.0,,,HockeyAllsvenskan,,9,0.0
291,WSH,Prospects,D,"Chesley, Ryan",RD,19,R,Drafted (37 - 2022),36,2.0,8.0,10.0,,,NCAA,,4,0.0
292,WSH,Prospects,D,"Johnson, Brent",RD,20,R,Drafted (80 - 2021),13,1.0,5.0,6.0,,,NCAA,,7,0.0
293,WSH,Prospects,D,"Lemay, Joaquim",LD,21,L,Drafted (119 - 2021),32,2.0,10.0,12.0,,,NCAA,,6,0.0
295,WSH,Prospects,D,"Gucciardi, David",LD,20,L,Drafted (213 - 2022),36,4.0,6.0,10.0,,,NCAA,,4,0.0
297,ARI,Majors,C,"Hayton, Barrett",C,23,L,Drafted (5 - 2018),82,19.0,24.0,43.0,,,NHL,,43,0.0
298,ARI,Majors,C,"Cooley, Logan",C,19,L,Drafted (3 - 2022),39,22.0,38.0,60.0,,,NCAA,,24,0.0
299,ARI,Majors,LW,"Maccelli, Matias",LW,22,L,Drafted (98 - 2019),64,11.0,38.0,49.0,,,NHL,,49,0.0
300,ARI,Majors,C,"McBain, Jack",C,23,L,Signed to ELC,82,12.0,14.0,26.0,,,NHL,,26,0.0
301,ARI,Majors,RW,"Guenther, Dylan",RW,20,R,Drafted (9 - 2021),33,6.0,9.0,15.0,,,NHL,,15,0.0
302,ARI,Majors,LD,"Moser, J.J.",LD,23,L,Drafted (60 - 2021),82,7.0,24.0,31.0,,,NHL,,31,0.0
303,ARI,Training Camp,F,"Geekie, Conor",C,19,L,Drafted (11 - 2022),66,35.0,42.0,77.0,,,WHL,,13,0.0
304,ARI,Training Camp,F,"Douglas, Curtis",C,23,L,Traded,63,8.0,7.0,15.0,,,AHL,,8,0.0
305,ARI,Training Camp,F,"Doan, Josh",RW,21,R,Drafted (37 - 2021),39,16.0,22.0,38.0,,,NCAA,,16,0.0
306,ARI,Training Camp,F,"Räty, Aku",C,22,R,Drafted (151 - 2019),53,18.0,24.0,42.0,,,Liiga,,29,0.0
307,ARI,Training Camp,F,"McCartney, Ben",LW,22,L,Drafted (204 - 2020),45,7.0,8.0,15.0,,,AHL,,11,0.0
308,ARI,Training Camp,F,"Lutz, Julian",LW,19,L,Drafted (43 - 2022),24,1.0,7.0,8.0,,,DEL,,10,0.0
309,ARI,Training Camp,F,"Ekefjard, Elliot",RW,21,L,Drafted (192 - 2020),37,4.0,1.0,5.0,,,HockeyAllsvenskan,,4,0.0
310,ARI,Training Camp,D,"Söderström, Victor",RD,22,R,Drafted (11 - 2019),44,2.0,19.0,21.0,,,AHL,,15,0.0
311,ARI,Training Camp,D,"Kesselring, Michael",RD,23,R,Traded,49,13.0,9.0,22.0,,,AHL,,14,0.0
312,ARI,Training Camp,D,"Kolyachonok, Vladislav",LD,22,L,Traded,71,3.0,18.0,21.0,,,AHL,,9,0.0
313,ARI,Training Camp,D,"Lamoureux, Maveric",RD,19,R,Drafted (29 - 2022),35,5.0,14.0,19.0,,,QMJHL,,5,0.0
314,ARI,Training Camp,D,"Szuber, Maksymilian",LD,21,L,Drafted (163 - 2022),46,3.0,7.0,10.0,,,DEL,,6,0.0
315,ARI,Training Camp,D,"Onyebuchi, Montana",RD,23,R,Signed to ELC,35,3.0,7.0,10.0,,,AHL,,9,0.0
316,ARI,Training Camp,D,"Diliberatore, Peter",LD,23,L,Traded,30,2.0,3.0,5.0,,,AHL,,5,0.0
317,ARI,Training Camp,D,"Langlois, Jérémy",LD,19,L,Drafted (94 - 2022),41,11.0,39.0,50.0,,,QMJHL,,11,0.0
320,ARI,Training Camp,G,"Thornton, Anson",G,20,R,Signed to ELC,44,,,,3.13,0.903,OHL,,0,0.863906819
322,ARI,Prospects,F,"Fedotov, Ilya",LW,20,R,Drafted (43 - 2021),42,9.0,5.0,14.0,,,KHL,,21,0.0
323,ARI,Prospects,F,"Matikka, Miko",RW,19,R,Drafted (67 - 2022),58,27.0,28.0,55.0,,,USHL,,11,0.0
328,ARI,Prospects,F,"Daryin, Alexander",C,23,R,Drafted (107 - 2019),30,7.0,6.0,13.0,,,KHL,,27,0.0
329,ARI,Prospects,F,"Bantle, Carson",LW,21,L,Drafted (142 - 2020),35,9.0,7.0,16.0,,,NCAA,,7,0.0
331,ARI,Prospects,F,"Barklund, Filip",C,21,L,Drafted (173 - 2020),36,15.0,19.0,34.0,,,HockeyEttan,,8,0.0
332,ARI,Prospects,F,"Savunov, Danil",C,22,L,Drafted (174 - 2019),43,11.0,19.0,30.0,,,VHL,,19,0.0
333,ARI,Prospects,F,"Zlnka, Adam",RW,19,R,Drafted (204 - 2022),56,8.0,16.0,24.0,,,USHL,,5,0.0
334,ARI,Prospects,F,"Lipkin, Sam",LW,20,L,Drafted (223 - 2021),39,14.0,29.0,43.0,,,NCAA,,18,0.0
336,ARI,Prospects,D,"Duda, Artem",LD,19,L,Drafted (36 - 2022),14,5.0,8.0,13.0,,,MHL,,11,0.0
337,ARI,Prospects,D,"Morden, Matthew",LD,19,L,Drafted (131 - 2022),57,3.0,18.0,21.0,,,USHL,,4,0.0
339,ARI,Prospects,G,"Korhonen, Rasmus",G,20,L,Drafted (122 - 2021),15,,,,2.92,0.879,Liiga,,0,0.865899054
342,ARI,Reserve,F,"Jeník, Jan",C,23,L,Drafted (65 - 2018),30,7.0,16.0,23.0,,,AHL,,24,0.0
343,NJD,Majors,C,"Hughes, Jack",C,22,L,Drafted (1 - 2019),78,43.0,56.0,99.0,,,NHL,,99,0.0
344,NJD,Majors,RW,"Mercer, Dawson",RW,21,R,Drafted (18 - 2020),82,27.0,29.0,56.0,,,NHL,,56,0.0
345,NJD,Majors,RW,"Holtz, Alexander",RW,21,R,Drafted (7 - 2020),19,3.0,1.0,4.0,,,NHL,,4,0.0
346,NJD,Majors,LD,"Hughes, Luke",LD,20,L,Drafted (4 - 2021),39,10.0,38.0,48.0,,,NCAA,,20,0.0
347,NJD,Majors,LD,"Bahl, Kevin",LD,23,L,Traded,42,2.0,6.0,8.0,,,NHL,,8,0.0
348,NJD,Majors,G,"Schmid, Akira",G,23,L,Drafted (136 - 2018),23,,,,2.62,0.905,AHL,,0,0.880540412
349,NJD,Minors,F,"Foote, Nolan",LW,22,L,Traded,55,20.0,17.0,37.0,,,AHL,,21,0.0
350,NJD,Minors,F,"Stillman, Chase",RW,20,R,Drafted (29 - 2021),59,19.0,29.0,48.0,,,OHL,,10,0.0
351,NJD,Minors,F,"Clarke, Graeme",RW,22,R,Drafted (80 - 2019),68,25.0,33.0,58.0,,,AHL,,27,0.0
352,NJD,Minors,F,"Filmon, Josh",LW,19,L,Drafted (166 - 2022),64,47.0,28.0,75.0,,,WHL,,14,0.0
353,NJD,Minors,D,"Nemec, Simon",RD,19,R,Drafted (2 - 2022),65,12.0,22.0,34.0,,,AHL,,17,0.0
354,NJD,Minors,D,"Misyul, Daniil",LD,22,L,Drafted (70 - 2019),59,0.0,7.0,7.0,,,KHL,,8,0.0
355,NJD,Minors,D,"Vukojevic, Michael",LD,22,L,Drafted (82 - 2019),37,2.0,1.0,3.0,,,AHL,,3,0.0
356,NJD,Minors,D,"Vilén, Topias",LD,20,L,Drafted (129 - 2021),41,9.0,8.0,17.0,,,Liiga,,15,0.0
357,NJD,Minors,G,"Daws, Nico",G,22,L,Drafted (84 - 2020),33,,,,2.7,0.904,AHL,,0,0.879916713
358,NJD,Minors,G,"Brennan, Tyler",G,19,L,Drafted (102 - 2022),37,,,,2.86,0.898,WHL,,0,0.861778981
360,NJD,Prospects,F,"Salminen, Samu",C,20,L,Drafted (68 - 2021),27,9.0,8.0,17.0,,,NCAA,,10,0.0
361,NJD,Prospects,F,"Pytlik, Jaromir",C,21,L,Drafted (99 - 2020),33,2.0,1.0,3.0,,,Czechia,,4,0.0
363,NJD,Prospects,F,"Gritsyuk, Arseni",LW,22,L,Drafted (129 - 2019),66,15.0,25.0,40.0,,,KHL,,38,0.0
364,NJD,Prospects,F,"Shlaine, Artem",C,21,L,Drafted (130 - 2020),38,11.0,21.0,32.0,,,NCAA,,13,0.0
365,NJD,Prospects,F,"Hauser, Petr",RW,19,R,Drafted (141 - 2022),35,6.0,13.0,19.0,,,Czechia 2,,11,0.0
367,NJD,Prospects,F,"Bardakov, Zakhar",C,22,L,Drafted (203 - 2021),42,6.0,12.0,18.0,,,KHL,,27,0.0
368,NJD,Prospects,D,"Casey, Seamus",RD,19,R,Drafted (46 - 2022),37,8.0,21.0,29.0,,,NCAA,,12,0.0
369,NJD,Prospects,D,"Orlov, Daniil",LD,19,L,Drafted (110 - 2022),18,2.0,6.0,8.0,,,MHL,,5,0.0
370,NJD,Prospects,D,"Edwards, Ethan",LD,21,L,Drafted (120 - 2020),37,4.0,10.0,14.0,,,NCAA,,6,0.0
371,NJD,Prospects,D,"Leddy, Charlie",RD,19,R,Drafted (126 - 2022),35,2.0,5.0,7.0,,,NCAA,,3,0.0
373,NJD,Prospects,D,"Hurtig, Viktor",RD,21,R,Drafted (164 - 2021),34,1.0,4.0,5.0,,,NCAA,,2,0.0
375,NJD,Prospects,D,"Barabosha, Artem",RD,19,R,Drafted (198 - 2022),48,1.0,4.0,5.0,,,MHL,,1,0.0
376,NJD,Prospects,G,"Málek, Jakub",G,21,L,Drafted (100 - 2021),22,,,,2.15,0.903,Liiga,,0,0.881836933
377,NJD,Prospects,G,"Brady, Cole",G,22,L,Drafted (127 - 2019),12,,,,3.1,0.907,NCAA,,0,0.869510439
378,ANA,Majors,C,"Zegras, Trevor",C,22,L,Drafted (9 - 2019),81,23.0,42.0,65.0,,,NHL,,65,0.0
379,ANA,Majors,C,"McTavish, Mason",C,20,L,Drafted (3 - 2021),80,17.0,26.0,43.0,,,NHL,,43,0.0
381,ANA,Majors,RD,"Drysdale, Jamie",RD,21,R,Drafted (6 - 2020),81,4.0,28.0,32.0,,,NHL,*2021-2022 season,32,0.0
382,ANA,Majors,F,"Lundeström, Isac",C,23,L,Drafted (23 - 2018),61,4.0,10.0,14.0,,,NHL,,14,0.0
383,ANA,Minors,F,"Regenda, Pavol",LW,23,L,Signed to ELC,50,13.0,12.0,25.0,,,AHL,,16,0.0
384,ANA,Minors,F,"Nesterenko, Nikita",C,22,L,Traded,36,13.0,21.0,34.0,,,NCAA,,15,0.0
385,ANA,Minors,F,"Groulx, Benoit-Olivier",C,23,L,Drafted (54 - 2018),63,18.0,21.0,39.0,,,AHL,,20,0.0
386,ANA,Minors,F,"Gaucher, Nathan",C,19,R,Drafted (22 - 2022),44,22.0,24.0,46.0,,,QMJHL,,10,0.0
387,ANA,Minors,F,"Perreault, Jacob",RW,21,R,Drafted (27 - 2020),48,8.0,11.0,19.0,,,AHL,,13,0.0
388,ANA,Minors,F,"Tracey, Brayden",LW,22,L,Drafted (29 - 2019),62,10.0,18.0,28.0,,,AHL,,14,0.0
389,ANA,Minors,F,"Pastujov, Sasha",LW,20,L,Drafted (66 - 2021),60,41.0,57.0,98.0,,,OHL,,19,0.0
390,ANA,Minors,F,"McLaughlin, Blake",LW,23,L,Drafted (79 - 2018),43,14.0,20.0,34.0,,,ECHL,,10,0.0
391,ANA,Minors,F,"Lopina, Joshua",C,22,R,Drafted (98 - 2021),59,2.0,2.0,4.0,,,AHL,,2,0.0
392,ANA,Minors,F,"Caulfield, Judd",RW,22,R,Traded,39,10.0,9.0,19.0,,,NCAA,,8,0.0
393,ANA,Minors,F,"Wiebe, Jaxsen",RW,21,R,Signed to ELC,45,14.0,25.0,39.0,,,WHL,,10,0.0
394,ANA,Minors,D,"Helleson, Drew",RD,22,R,Traded,65,5.0,13.0,18.0,,,AHL,,9,0.0
395,ANA,Minors,D,"LaCombe, Jackson",LD,22,L,Drafted (39 - 2019),37,9.0,26.0,35.0,,,NCAA,,15,0.0
396,ANA,Minors,D,"Mintyukov, Pavel",LD,19,L,Drafted (10 - 2022),69,24.0,64.0,88.0,,,OHL,,15,0.0
397,ANA,Minors,D,"Zellweger, Olen",LD,20,L,Drafted (34 - 2021),55,32.0,48.0,80.0,,,WHL,,17,0.0
398,ANA,Minors,D,"Warren, Noah",RD,19,R,Drafted (42 - 2022),47,3.0,17.0,20.0,,,QMJHL,,4,0.0
399,ANA,Minors,D,"Luneau, Tristan",RD,19,R,Drafted (53 - 2022),65,20.0,63.0,83.0,,,QMJHL,,12,0.0
400,ANA,Minors,D,"Hinds, Tyson",LD,20,L,Drafted (76 - 2021),56,11.0,43.0,54.0,,,QMJHL,,9,0.0
401,ANA,Minors,G,"Dostal, Lukas",G,23,L,Drafted (85 - 2018),34,,,,2.97,0.912,AHL,,0,0.884906302
402,ANA,Minors,G,"Clang, Calle",G,21,L,Traded,25,,,,2.69,0.901,SHL,,0,0.885892113
403,ANA,Minors,G,"Alexander, Gage",G,21,L,Drafted (148 - 2021),16,,,,3.59,0.887,AHL,,0,0.869313836
405,ANA,Prospects,F,"Colangelo, Sam",RW,21,R,Drafted (36 - 2020),35,9.0,15.0,24.0,,,NCAA,,11,0.0
409,ANA,Prospects,F,"King, Ben",C,21,R,Drafted (107 - 2022),30,17.0,18.0,35.0,,,WHL,,13,0.0
410,ANA,Prospects,F,"Perbix, Jack",C,23,R,Drafted (116 - 2018),39,6.0,13.0,19.0,,,NCAA,,8,0.0
411,ANA,Prospects,F,"Hvidston, Connor",LW,19,L,Drafted (139 - 2022),59,21.0,44.0,65.0,,,WHL,,13,0.0
412,ANA,Prospects,F,"Callow, Michael",RW,19,R,Drafted (154 - 2022),61,21.0,19.0,40.0,,,USHL,,8,0.0
413,ANA,Prospects,F,"Sundsvik, Albin",C,22,L,Drafted (160 - 2020),52,3.0,8.0,11.0,,,SHL,,10,0.0
414,ANA,Prospects,F,"Kukkonen, Kyle",C,20,R,Drafted (162 - 2021),39,18.0,9.0,27.0,,,NCAA,,11,0.0
415,ANA,Prospects,D,"Moore, Ian",RD,21,R,Drafted (67 - 2020),34,1.0,18.0,19.0,,,NCAA,,9,0.0
419,ANA,Prospects,D,"Francis, William",RD,22,R,Drafted (163 - 2019),28,0.0,1.0,1.0,,,NCAA,,1,0.0
421,ANA,Prospects,G,"Buteyets, Vyacheslav",G,21,L,Drafted (178 - 2022),35,,,,2.11,0.933,VHL,,0,0.893262294
422,CGY,Majors,RW,"Coronato, Matthew",RW,20,R,Drafted (13 - 2021),34,20.0,16.0,36.0,,,NCAA,,17,0.0
423,CGY,Majors,LW,"Pelletier, Jakob",LW,22,L,Drafted (26 - 2019),35,16.0,21.0,37.0,,,AHL,,34,0.0
425,CGY,Minors,F,"Zary, Connor",C,21,L,Drafted (24 - 2020),72,21.0,37.0,58.0,,,AHL,,26,0.0
426,CGY,Minors,F,"Strömgren, William",LW,20,L,Drafted (45 - 2021),45,3.0,5.0,8.0,,,SHL,,8,0.0
427,CGY,Minors,F,"Schwindt, Cole",RW,22,R,Traded,70,14.0,18.0,32.0,,,AHL,,15,0.0
428,CGY,Minors,F,"Nikolayev, Ilya",C,22,L,Drafted (88 - 2019),40,13.0,20.0,33.0,,,ECHL,,10,0.0
429,CGY,Minors,F,"Pospisil, Martin",RW,23,L,Drafted (105 - 2018),20,4.0,6.0,10.0,,,AHL,,16,0.0
430,CGY,Minors,F,"Emilio Pettersen, Mathias",C,23,L,Drafted (167 - 2018),61,19.0,25.0,44.0,,,AHL,,23,0.0
431,CGY,Minors,F,"Ciona, Lucas",LW,20,L,Drafted (173 - 2021),63,28.0,47.0,75.0,,,WHL,,14,0.0
432,CGY,Minors,F,"Kerins, Rory",C,21,L,Drafted (174 - 2020),38,17.0,20.0,37.0,,,ECHL,,12,0.0
433,CGY,Minors,F,"Klapka, Adam",RW,23,R,Signed to ELC,60,13.0,12.0,25.0,,,AHL,,13,0.0
434,CGY,Minors,D,"Kuznetsov, Yan",LD,21,L,Drafted (50 - 2020),63,5.0,14.0,19.0,,,AHL,,10,0.0
435,CGY,Minors,D,"Poirier, Jérémie",LD,21,L,Drafted (72 - 2020),69,9.0,32.0,41.0,,,AHL,,19,0.0
436,CGY,Minors,D,"Solovyov, Ilya",LD,23,L,Drafted (205 - 2020),68,4.0,14.0,18.0,,,AHL,,8,0.0
437,CGY,Minors,G,"Wolf, Dustin",G,22,L,Drafted (214 - 2019),55,,,,2.09,0.932,AHL,,0,0.897380275
438,CGY,Prospects,F,"Rönni, Topi",C,19,L,Drafted (59 - 2022),22,2.0,3.0,5.0,,,Liiga,,8,0.0
440,CGY,Prospects,F,"Koumontzis, Demetrios",LW,23,L,Drafted (108 - 2018),37,7.0,11.0,18.0,,,NCAA,,8,0.0
442,CGY,Prospects,F,"Bell, Parker",LW,19,L,Drafted (155 - 2022),55,25.0,39.0,64.0,,,WHL,,13,0.0
443,CGY,Prospects,F,"Littler, Cade",C,19,R,Drafted (219 - 2022),51,29.0,39.0,68.0,,,BCHL,,9,0.0
445,CGY,Prospects,D,"Boltmann, Jake",RD,21,R,Drafted (80 - 2020),37,1.0,4.0,5.0,,,NCAA,,2,0.0
447,CGY,Prospects,G,"Sergeev, Arsenii",G,20,L,Drafted (205 - 2021),19,,,,2.61,0.912,NCAA,,0,0.87171271
449,CGY,Reserve,G,"Chechelev, Daniil",G,22,R,Drafted (96 - 2020),42,,,,3.58,0.894,ECHL,,0,0.860703913
450,PHI,Majors,LW,"Farabee, Joel",LW,23,L,Drafted (14 - 2018),82,15.0,24.0,39.0,,,NHL,,39,0.0
451,PHI,Majors,RD,"York, Cam",LD,22,L,Drafted (14 - 2019),54,2.0,18.0,20.0,,,NHL,,20,0.0
452,PHI,Majors,D,"Zamula, Yegor",LD,23,L,Signed to ELC,44,1.0,18.0,19.0,,,AHL,,14,0.0
453,PHI,Minors,F,"Foerster, Tyson",RW,21,R,Drafted (23 - 2020),66,20.0,28.0,48.0,,,AHL,,23,0.0
454,PHI,Minors,F,"Desnoyers, Elliot",C,21,L,Drafted (135 - 2020),65,23.0,21.0,44.0,,,AHL,,22,0.0
455,PHI,Minors,F,"Brink, Bobby",RW,22,R,Drafted (34 - 2019),41,12.0,16.0,28.0,,,AHL,,22,0.0
456,PHI,Minors,F,"Tuomaala, Samu",RW,20,R,Drafted (46 - 2021),29,26.0,20.0,46.0,,,Mestis,,23,0.0
457,PHI,Minors,F,"Wisdom, Zayde",C,21,R,Drafted (94 - 2020),45,3.0,7.0,10.0,,,AHL,,7,0.0
458,PHI,Minors,F,"Avon, Jon-Randall",C,20,L,Signed to ELC,59,29.0,31.0,60.0,,,OHL,,12,0.0
459,PHI,Minors,D,"Ginning, Adam",LD,23,L,Drafted (50 - 2018),68,3.0,16.0,19.0,,,AHL,,9,0.0
460,PHI,Minors,D,"Grans, Helge",RD,21,R,Traded,59,2.0,7.0,9.0,,,AHL,,5,0.0
462,PHI,Minors,D,"Andrae, Emil",LD,21,L,Drafted (54 - 2020),51,6.0,20.0,26.0,,,SHL,,24,0.0
463,PHI,Minors,D,"Millman, Mason",LD,22,L,Drafted (103 - 2019),63,8.0,37.0,45.0,,,ECHL,,9,0.0
464,PHI,Minors,D,"Samson, Ethan",RD,20,R,Drafted (174 - 2021),60,18.0,42.0,60.0,,,WHL,,12,0.0
465,PHI,Minors,D,"Gendron, Alexis",RW,19,L,Drafted (220 - 2022),63,55.0,26.0,81.0,,,QMJHL,,12,0.0
466,PHI,Minors,G,"Ersson, Samuel",G,23,L,Drafted (143 - 2018),42,,,,2.84,0.9,AHL,,0,0.877421919
467,PHI,Loaned,G,"Kolosov, Aleksei",G,21,L,Drafted (78 - 2021),42,,,,2.54,0.912,KHL,,0,0.903261742
468,PHI,Prospects,F,"Gauthier, Cutter",LW,19,L,Drafted (5 - 2022),32,16.0,21.0,37.0,,,NCAA,,18,0.0
470,PHI,Prospects,F,"Kaplan, Devin",RW,19,R,Drafted (69 - 2022),40,10.0,13.0,23.0,,,NCAA,,9,0.0
474,PHI,Prospects,F,"Bump, Alex",LW,19,L,Drafted (133 - 2022),48,14.0,25.0,39.0,,,USHL,,10,0.0
476,PHI,Prospects,F,"Brodzinski, Bryce",RW,23,R,Drafted (196 - 2019),40,19.0,12.0,31.0,,,NCAA,,12,0.0
477,PHI,Prospects,F,"McLaughlin, Owen",C,20,L,Drafted (206 - 2021),37,2.0,13.0,15.0,,,NCAA,,6,0.0
478,PHI,Prospects,F,"Rizzo, Massimo",C,22,L,Traded,38,17.0,29.0,46.0,,,NCAA,,19,0.0
479,PHI,Prospects,D,"Zanetti, Brian",LD,20,L,Drafted (110 - 2021),47,5.0,7.0,12.0,,,OHL,,3,0.0
481,PHI,Prospects,D,"Murchison, Ty",LD,20,L,Drafted (158 - 2021),36,2.0,3.0,5.0,,,NCAA,,2,0.0
482,PHI,Prospects,D,"McDonald, Hunter",LD,21,L,Drafted (165 - 2022),35,1.0,13.0,14.0,,,NCAA,,6,0.0
486,CAR,Majors,RW,"Jarvis, Seth",RW,21,R,Drafted (13 - 2020),82,14.0,25.0,39.0,,,NHL,,39,0.0
487,CAR,Majors,LW,"Svechnikov, Andrei",LW,23,L,Drafted (2 - 2018),64,23.0,32.0,55.0,,,NHL,,55,0.0
488,CAR,Majors,C,"Kotkaniemi, Jesperi",C,23,L,Signed to SPC,82,18.0,25.0,43.0,,,NHL,,43,0.0
489,CAR,Majors,C,"Drury, Jack",C,23,L,Drafted (42 - 2018),38,2.0,6.0,8.0,,,NHL,,8,0.0
490,CAR,Minors,F,"Suzuki, Ryan",C,22,L,Drafted (28 - 2019),50,13.0,19.0,32.0,,,AHL,,20,0.0
491,CAR,Minors,F,"Ponomarev, Vasili",C,21,L,Drafted (53 - 2020),64,24.0,22.0,46.0,,,AHL,,23,0.0
492,CAR,Minors,F,"Rees, Jamieson",C,22,L,Drafted (44 - 2019),65,14.0,28.0,42.0,,,AHL,,21,0.0
493,CAR,Minors,F,"Gunler, Noel",RW,21,R,Drafted (41 - 2020),31,8.0,10.0,18.0,,,AHL,,19,0.0
495,CAR,Minors,F,"Robidas, Justin",C,20,R,Drafted (147 - 2021),63,25.0,53.0,78.0,,,QMJHL,,11,0.0
496,CAR,Minors,F,"Murray, Blake",C,22,L,Drafted (183 - 2019),29,10.0,7.0,17.0,,,ECHL,,7,0.0
497,CAR,Minors,F,"Pashin, Alexander",C,21,L,Drafted (199 - 2020),47,4.0,6.0,10.0,,,AHL,,7,0.0
498,CAR,Minors,D,"Honka, Anttoni",RD,22,R,Drafted (83 - 2019),70,6.0,28.0,34.0,,,AHL,,15,0.0
499,CAR,Minors,D,"Fensore, Domenick",LD,22,L,Drafted (90 - 2019),37,9.0,22.0,31.0,,,NCAA,,13,0.0
500,CAR,Minors,D,"Seeley, Ronan",LD,21,L,Drafted (208 - 2020),70,4.0,21.0,25.0,,,AHL,,11,0.0
501,CAR,Minors,G,"Perets, Yaniv",G,23,L,Signed to ELC,41,,,,1.49,0.931,NCAA,,0,0.880081342
502,CAR,Loaned,F,"Koivunen, Ville",RW,20,L,Drafted (51 - 2021),52,12.0,16.0,28.0,,,Liiga,,19,0.0
503,CAR,Loaned,F,"Tieksola, Tuukka",RW,22,R,Drafted (121 - 2019),52,8.0,16.0,24.0,,,AHL,,15,0.0
504,CAR,Loaned,D,"Heimosalmi, Aleksi",RD,20,R,Drafted (44 - 2021),45,4.0,11.0,15.0,,,Liiga,,12,0.0
506,CAR,Prospects,F,"Trikozov, Gleb",LW,19,R,Drafted (60 - 2022),25,14.0,15.0,29.0,,,MHL,*same number of games on VHL,14,0.0
507,CAR,Prospects,F,"Perevalov, Alexander",LW,19,R,Drafted (71 - 2022),27,2.0,1.0,3.0,,,KHL,,7,0.0
510,CAR,Prospects,F,"Blake, Jackson",RW,20,R,Drafted (109 - 2021),39,16.0,26.0,42.0,,,NCAA,,17,0.0
511,CAR,Prospects,F,"Nybeck, Zion",RW,21,L,Drafted (115 - 2020),50,13.0,21.0,34.0,,,HockeyAllsvenskan,,20,0.0
512,CAR,Prospects,F,"Lucius, Cruz",RW,19,R,Drafted (124 - 2022),34,11.0,23.0,34.0,,,NCAA,,16,0.0
514,CAR,Prospects,F,"Mercuri, Lucas",C,21,R,Drafted (159 - 2020),35,3.0,11.0,14.0,,,NCAA,,6,0.0
517,CAR,Prospects,F,"Guslistov, Nikita",C,21,L,Drafted (209 - 2021),52,4.0,11.0,15.0,,,KHL,,18,0.0
518,CAR,Prospects,D,"Morrow, Scott",RD,20,R,Drafted (40 - 2021),35,9.0,22.0,31.0,,,NCAA,,14,0.0
