Team,Type,POS,Name,POS.1,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
WPG,Minors,F,"Torgersson, Daniel","LW, RW",21,L,Drafted (40 - 2020),69,11,9,20,,,AHL,,9,0
WPG,Minors,F,"Chibrikov, Nikita",RW,20,L,Drafted (50 - 2021),31,1,1,2,,,KHL,,4,0
WPG,Minors,F,"Zhilkin, Danil",C,19,L,Drafted (77 - 2022),60,29,27,56,,,OHL,,11,0
WPG,Minors,F,"Nikkanen, Henri",C,22,L,Drafted (113 - 2019),66,5,11,16,,,AHL,,8,0
WPG,Minors,F,"Wagner, Fabian",C,19,L,Drafted (175 - 2022),33,11,22,33,,,J20 Nationell,,7,0
WPG,Minors,F,"Ford, Parker",C,23,R,Signed to ELC,37,12,14,26,,,NCAA,,11,0
WPG,Minors,D,"Heinola, Ville",LD,22,L,Drafted (20 - 2019),48,4,33,37,,,AHL,,25,0
WPG,Minors,D,"Kniazev, Artemi",LD,22,L,Traded,61,5,23,28,,,AHL,,15,0
WPG,Minors,D,"Lundmark, Simon",RD,22,R,Drafted (51 - 2019),64,3,14,17,,,AHL,,8,0
WPG,Minors,D,"Salomonsson, Elias",RD,19,R,Drafted (55 - 2022),25,3,2,5,,,SHL,,9,0
WPG,Minors,D,"Kuzmin, Dmitri",LD,20,L,Drafted (82 - 2021),65,14,45,59,,,OHL,,11,0
WPG,Minors,D,"Chisholm, Declan",LD/RD,23,L,Drafted (150 - 2018),59,5,38,43,,,AHL,,23,0
WPG,Minors,D,"Bauer, Tyrel",RD,21,R,Drafted (164 - 2020),47,2,5,7,,,AHL,,5,0
WPG,Minors,G,"Salminen, Oskari",G,23,L,Signed to ELC,39,,,,3.06,0.896,AHL,,0,0.874927124
WPG,Minors,G,"DiVincentiis, Domenic",G,19,L,Drafted (207 - 2022),48,,,,2.33,0.919,OHL,,0,0.869978392
WPG,Prospects,F,"McGroarty, Rutger","LW, C",19,L,Drafted (14 - 2022),39,18,21,39,,,NCAA,,16,0
WPG,Prospects,F,"Barlow, Colby",LW,18,L,Drafted (18 - 2023),59,46,33,79,,,OHL,,16,0
WPG,Prospects,F,"Nehring, Zach",RW,18,R,Drafted (82 - 2023),54,39,46,85,,,USHS-Prep,,4,0
WPG,Prospects,F,"Blaisdell, Harrison",C,22,L,Drafted (134 - 2019),32,1,3,4,,,NCAA,,2,0
WPG,Prospects,F,"Rashevsky, Dmitri",RW,22,L,Drafted (146 - 2021),67,19,19,38,,,KHL,,36,0
WPG,Prospects,F,"Julien, Jacob",C,19,L,Drafted (146 - 2023),40,9,7,16,,,OHL,,5,0
WPG,Prospects,F,"Levis, Connor",RW,18,R,Drafted (210 - 2023),68,27,40,67,,,WHL,,11,0
WPG,Prospects,F,"Wong, Austin","C, RW",23,R,Drafted (215 - 2018),30,1,0,1,,,NCAA,,1,0
WPG,Prospects,D,"Brown, Garrett",RD,19,R,Drafted (99 - 2022),36,3,13,16,,,USHL,,5,0
WPG,Prospects,D,"Johannesson, Anton",LD,21,L,Drafted (133 - 2020),32,8,18,26,,,HockeyEttan,,7,0
WPG,Prospects,G,"Milic, Thomas",G,20,L,Drafted (151 - 2023),33,,,,2.08,0.928,WHL,,0,0.873043971
LAK,Majors,LW,"Byfield, Quinton","C, LW",21,L,Drafted (2 - 2020),53,3,19,22,,,NHL,,22,0
LAK,Majors,RW,"Kaliyev, Arthur","RW, LW",22,L,Drafted (33 - 2019),56,13,15,28,,,NHL,,28,0
LAK,Majors,LD,"Björnfot, Tobias",LD,22,L,Drafted (22 - 2019),50,5,7,12,,,AHL,,8,0
LAK,Majors,RD,"Clarke, Brandt",RD,20,R,Drafted (8 - 2021),31,23,38,61,,,OHL,,23,0
LAK,Majors,F,"Fagemo, Samuel","LW, RW",23,R,Drafted (50 - 2019),56,23,9,32,,,AHL,,18,0
LAK,Training Camp,F,"Turcotte, Alex",C,22,L,Drafted (5 - 2019),32,6,11,17,,,AHL,,17,0
LAK,Training Camp,D,"Spence, Jordan",RD,22,R,Drafted (95 - 2019),56,4,41,45,,,AHL,,26,0
LAK,Minors,F,"Pinelli, Francesco",C,20,L,Drafted (42 - 2021),60,41,49,90,,,OHL,,18,0
LAK,Minors,F,"Helenius, Samuel",C,20,L,Drafted (59 - 2021),61,2,12,14,,,AHL,,7,0
LAK,Minors,F,"Thomas, Akil",C,23,R,Drafted (51 - 2018),13,5,3,8,,,AHL,,20,0
LAK,Minors,F,"Laferriere, Alex",RW,21,R,Drafted (83 - 2020),34,21,21,42,,,NCAA,,20,0
LAK,Minors,F,"Chromiak, Martin",RW,21,R,Drafted (128 - 2020),55,15,13,28,,,AHL,,16,0
LAK,Minors,F,"Lee, Andre","LW, C",23,L,Drafted (188 - 2019),58,6,3,9,,,AHL,,5,0
LAK,Minors,F,"Madden, Tyler",C,23,R,Traded,71,20,13,33,,,AHL,,15,0
LAK,Minors,D,"Dvorak, Jakub",LD,18,L,Drafted (54 - 2023),24,0,2,2,,,Czechia,,4,0
LAK,Minors,D,"Nousiainen, Kim",LD,22,L,Drafted (119 - 2019),37,2,4,6,,,AHL,,5,0
LAK,Minors,D,"Krygier, Cole",LD,23,L,Traded,38,10,6,16,,,NCAA,,7,0
LAK,Minors,G,"Portillo, Erik",G,23,L,Traded,38,,,,3,0.908,NCAA,,0,0.869950893
LAK,Prospects,F,"Hughes, Jack",C,19,L,Drafted (51 - 2022),32,5,11,16,,,NCAA,,8,0
LAK,Prospects,F,"Simontaival, Kasper",C,21,R,Drafted (66 - 2020),49,10,14,24,,,Liiga,,18,0
LAK,Prospects,F,"Ziemmer, Koehn",RW,18,R,Drafted (78 - 2023),68,41,48,89,,,WHL,,15,0
LAK,Prospects,F,"Connors, Kenny",C,20,L,Drafted (103 - 2022),32,9,17,26,,,NCAA,,13,0
LAK,Prospects,F,"Wright, Jared","C, LW, RW",20,R,Drafted (169 - 2022),34,8,4,12,,,NCAA,,6,0
LAK,Prospects,F,"Conmy, Ryan",RW,18,R,Drafted (182 - 2023),60,33,29,62,,,USHL,,12,0
LAK,Prospects,F,"Jämsen, Aatu",RW,21,L,Drafted (190 - 2020),43,14,18,32,,,Liiga,,27,0
LAK,Prospects,F,"Lawrence, Kaleb",RW,20,L,Drafted (215 - 2022),50,16,21,37,,,OHL,,9,0
LAK,Prospects,D,"Kirsanov, Kirill",LD,20,L,Drafted (84 - 2021),31,4,10,14,,,VHL,,12,0
LAK,Prospects,D,"Booth, Angus",LD,19,L,Drafted (116 - 2022),62,3,16,19,,,QMJHL,,3,0
LAK,Prospects,D,"Meehan, Ben",LD,22,L,Drafted (140 - 2020),34,4,13,17,,,NCAA,,8,0
LAK,Prospects,D,"Salin, Otto",RD,19,R,Drafted (148 - 2022),27,2,6,8,,,Liiga,,11,0
LAK,Prospects,D,"Mania, Matthew",RD,18,R,Drafted (150 - 2023),67,10,28,38,,,OHL,,7,0
LAK,Prospects,D,"Doyle, Braden",LD,22,L,Drafted (157 - 2019),23,1,7,8,,,NCAA,,6,0
LAK,Prospects,D,"Sparkes, Jack",RD,19,R,Drafted (180 - 2022),53,1,7,8,,,USHL,,2,0
LAK,Prospects,G,"Slukynsky, Hampton",G,18,L,Drafted (118 - 2023),30,,,,1.47,0.941,USHS-MN,,0,0.855646853
LAK,Prospects,G,"Markkanen, Juho",G,21,L,Drafted (112 - 2020),18,,,,3.04,0.894,DEL,,0,0.872037977
LAK,Reserve,F,"Shafigullin, Bulat","C, LW, RW",23,L,Drafted (82 - 2018),30,4,9,13,,,KHL,,27,0
VGK,Majors,LW,"Cotter, Paul","LW, C",23,L,Drafted (115 - 2018),55,13,5,18,,,NHL,,18,0
VGK,Majors,F,"Dorofeyev, Pavel","LW, RW",22,L,Drafted (79 - 2019),32,9,8,17,,,AHL,,17,0
VGK,Minors,F,"Brisson, Brendan","C, LW, RW",21,L,Drafted (29 - 2020),58,18,19,37,,,AHL,,20,0
VGK,Minors,F,"Edstrom, David",C,18,L,Drafted (32 - 2023),28,15,13,28,,,J20 Nationell,,7,0
VGK,Minors,F,"Sapovaliv, Matyas",C,19,L,Drafted (48 - 2022),61,27,29,56,,,OHL,,11,0
